Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,example_en_lemma,example_en_gloss,ili
es,0.9192554410491057,4,0.0,0,0,midnight,0,1,1,10.0,0.758,7.59e-06,1.0,0.6666666666611111,0.758,0.0,0.007606794092379919,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.8980505101466466,4,0.0039020291431474136,0,0,midnight,0,1,1,8.0,0.638,2.04e-05,1.0,0.499999999995,0.638,0.0,0.03774882098736802,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.9973629032500299,4,0.9038384959422979,1,1,"morning, first light, break of day",0,12,21,10.0,0.711,0.00017533333333333333,2.0,0.699999999993,0.711,0.14285714285510204,0.3815789600218311,0.0,0.999999999990909,morning,the first light of day,i116932
it,0.9186949053307273,4,0.9999999999961263,0,0,"morning, first light, break of day",0,7,26,5.333333333333333,0.36233333333333334,1.0616666666666664e-05,5.666666666666667,0.2380952380935374,0.36233333333333334,0.268817204299341,0.010045080917096176,0.0,0.5454545454495868,morning,the first light of day,i116932
nb,0.9006780448566339,4,0.0,0,0,"morning, first light, break of day",0,1,1,6.0,0.828,1.29e-06,1.0,0.3749999999953125,0.828,0.0,0.0017812171125177142,0.0,0.0,morning,the first light of day,i116932
es,0.8672147532985843,4,0.12891208025022188,0,0,"morning, first light, break of day",0,2,4,6.0,0.194,1.91e-05,2.0,0.33333333333055554,0.194,0.0769230769224852,0.022297096106355233,0.0,0.24999999999375,morning,the first light of day,i116932
en,0.9811630649802788,4,0.9999999999957188,0,1,"dusk, fall, twilight",1,9,22,5.333333333333333,0.26899999999999996,4.812e-05,5.333333333333333,0.23333333333099998,0.26899999999999996,0.6190476190387755,0.09926541815196775,0.0049999999999975,0.7272727272661157,dusk,the time of day immediately following sunset,i116935
es,0.9535362790648064,4,0.2399202778807261,0,0,"dusk, fall, twilight",1,3,6,9.666666666666666,0.7786666666666667,1.6299999999999999e-06,2.0,0.6388888888835648,0.7786666666666667,0.0769230769224852,0.0,0.02702702702695398,0.4999999999875,dusk,the time of day immediately following sunset,i116935
nb,0.9335161995082855,4,0.0,0,0,"dusk, fall, twilight",0,1,1,9.0,0.892,5.75e-08,1.0,0.749999999990625,0.892,0.0,0.0,0.0,0.0,dusk,the time of day immediately following sunset,i116935
it,0.9206624142607238,4,0.13371124258778005,0,0,"dusk, fall, twilight",0,2,4,9.5,0.7925,1.034e-06,2.0,0.5357142857104592,0.7925,0.03225806451592091,0.0,0.0,0.09090909090826446,dusk,the time of day immediately following sunset,i116935
en,0.9903563581337507,4,0.8426184910788755,0,1,"season, time of year",8,2,4,9.0,0.758,0.000454,2.0,0.599999999994,0.758,0.14285714285510204,0.9999997780786538,0.03999999999998,0.09090909090826446,season,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
it,0.9777128087802428,4,0.9999999999773984,0,1,"season, time of year",11,1,5,8.0,0.842,0.000129,5.0,0.42857142856836733,0.842,0.2258064516114464,0.13414103499065638,0.1506849315066429,0.0,season,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
es,0.9752374943951375,4,0.5245523796497501,0,1,"season, time of year",5,1,3,8.0,0.804,6.46e-05,3.0,0.49999999999583333,0.804,0.1538461538449704,0.08036909798610126,0.1351351351347699,0.0,season,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
nb,0.9622502999125774,4,0.0,0,0,"season, time of year",5,1,1,6.0,0.862,9.55e-07,1.0,0.3749999999953125,0.862,0.0,0.0012970729074926156,0.99999999998,0.0,season,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
nb,0.9862968004148358,4,0.015818833727581468,1,1,"summer, summertime",0,1,1,6.0,0.754,0.000102,1.0,0.3749999999953125,0.754,0.0,0.1473279720023019,0.0,0.0,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
it,0.9839904019054998,4,0.4783978843287631,1,1,"summer, summertime",0,1,2,6.0,0.729,6.92e-05,2.0,0.2857142857122449,0.729,0.03225806451592091,0.07145536932601693,0.0,0.0,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
en,0.9828494004623455,4,0.9999999999539944,1,1,"summer, summertime",0,2,3,8.0,0.203,8.589e-05,1.5,0.499999999995,0.203,0.07142857142755102,0.18308511060892776,0.0,0.09090909090826446,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
es,0.9744794483661808,4,0.0,1,1,"summer, summertime",0,1,1,6.0,0.2,8.71e-05,1.0,0.33333333333055554,0.2,0.0,0.10908602199256907,0.0,0.0,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
nb,0.9950818277501912,4,0.9999999999916495,1,1,"celebration, festivity",1,3,13,5.666666666666667,0.6749999999999999,4.47e-05,4.333333333333333,0.3333333333291667,0.6749999999999999,0.3703703703662551,0.06451763484427754,0.199999999996,0.6666666666444444,celebration,any joyous diversion,i37653
es,0.9430880458528321,4,0.09843486646964626,0,0,"celebration, festivity",3,2,5,9.0,0.7585,1.6795e-05,2.5,0.5833333333284723,0.7585,0.11538461538372781,0.019355206780359308,0.08108108108086194,0.24999999999375,celebration,any joyous diversion,i37653
en,0.9381829331034536,4,0.0,0,0,"celebration, festivity",7,2,4,10.0,0.7364999999999999,9.923499999999999e-06,2.0,0.699999999993,0.7364999999999999,0.14285714285510204,0.014499231153496115,0.0349999999999825,0.09090909090826446,celebration,any joyous diversion,i37653
it,0.9200676202419915,4,0.2467086393271299,0,0,"celebration, festivity",3,2,7,9.75,0.65575,5.96175e-06,3.0,0.5535714285674745,0.65575,0.09677419354776275,0.005165539949480385,0.04109589041090261,0.09090909090826446,celebration,any joyous diversion,i37653
nb,0.9903295049364385,4,0.06806666456706637,1,1,"association football, soccer",0,1,1,7.0,0.84,0.0002,1.0,0.49999999999375,0.84,0.0,0.2889582170544204,0.0,0.0,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
it,0.9891751968012926,4,0.9999999999929818,1,1,"association football, soccer",0,3,14,7.0,0.7166666666666667,5.36e-05,4.666666666666667,0.35714285714030614,0.7166666666666667,0.20430107526749916,0.05510258697871969,0.0,0.18181818181652892,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
es,0.9860186561684816,4,0.13750243008462842,1,1,"association football, soccer",0,1,2,6.0,0.701,0.000115,2.0,0.33333333333055554,0.701,0.0769230769224852,0.14469500776058916,0.0,0.0,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0.9457894103968152,4,0.0,0,0,"association football, soccer",0,2,2,13.0,0.679,4.36e-05,1.0,0.99999999999,0.679,0.0,0.08923457330406044,0.0,0.09090909090826446,association football,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0.9826768217477485,4,0.9999999999882122,0,1,"sport, athletics",20,2,10,7.0,0.8165,3.0155e-05,5.0,0.399999999996,0.8165,0.5714285714204081,0.05939724830846002,0.09999999999995,0.09090909090826446,sport,an active diversion requiring physical exertion and competition,i38140
nb,0.9769399901648615,4,0.029795064810620293,0,1,"sport, athletics",1,2,2,5.5,0.8320000000000001,4.7449999999999995e-05,1.0,0.31249999999609374,0.8320000000000001,0.0,0.06849195294522983,0.199999999996,0.3333333333222222,sport,an active diversion requiring physical exertion and competition,i38140
it,0.9668125241260466,4,0.002695406933876223,0,1,"sport, athletics",20,1,2,5.0,0.759,8.91e-05,2.0,0.21428571428418366,0.759,0.03225806451592091,0.09231564937160763,0.2739726027393507,0.0,sport,an active diversion requiring physical exertion and competition,i38140
es,0.9515824809985993,4,0.0,0,1,"sport, athletics",8,1,2,7.0,0.208,4.9e-05,2.0,0.41666666666319446,0.208,0.0769230769224852,0.0604586973416169,0.21621621621563183,0.0,sport,an active diversion requiring physical exertion and competition,i38140
es,0.9915361751382752,4,0.7223375230145337,0,1,"squealer, hog, pig",1,5,10,4.666666666666667,0.38599999999999995,0.00078514,2.6666666666666665,0.22222222222037039,0.38599999999999995,0.128205128204142,0.9999998723692266,0.02702702702695398,0.999999999975,squealer,domestic swine,i48199
it,0.9541517992105896,4,0.6462445354664914,0,1,"squealer, hog, pig",0,3,10,6.5,0.42974999999999997,6.48675e-06,3.0,0.3214285714262755,0.42974999999999997,0.09677419354776275,0.005715873970783658,0.0,0.18181818181652892,squealer,domestic swine,i48199
nb,0.9476804810506987,4,0.0,0,1,"squealer, hog, pig",0,1,2,4.0,0.644,1.15e-05,2.0,0.1249999999984375,0.644,0.11111111110987654,0.016536776316416996,0.0,0.0,squealer,domestic swine,i48199
en,0.9129919396639891,4,0.9999999999920871,0,0,"squealer, hog, pig",1,5,15,4.666666666666667,0.429,5.855233333333334e-06,3.6666666666666665,0.16666666666500002,0.429,0.38095238094693873,0.005470879000123019,0.0049999999999975,0.36363636363305785,squealer,domestic swine,i48199
en,0.9812797882524674,4,0.9999999999580202,1,1,fish,13,1,4,4.0,0.197,7.94e-05,4.0,0.099999999999,0.197,0.4285714285653061,0.16868241524102545,0.0649999999999675,0.0,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
nb,0.9760645269051929,4,0.0,1,1,fish,0,1,2,4.0,0.398,5.13e-05,2.0,0.1249999999984375,0.398,0.11111111110987654,0.07405599828656308,0.0,0.0,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.9541606777222457,4,0.09592354248032613,1,0,fish,2,2,3,4.5,0.477,7.7734e-06,1.5,0.20833333333159723,0.477,0.0384615384612426,0.007840868930725973,0.05405405405390796,0.24999999999375,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
it,0.9382989783990316,4,0.9041941459976796,1,0,fish,3,1,5,5.0,0.199,4.07e-05,5.0,0.21428571428418366,0.199,0.2258064516114464,0.04158009388383927,0.04109589041090261,0.0,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.9915056147345894,4,0.9999999999913418,1,1,boat,8,3,12,6.666666666666667,0.40599999999999997,1.5689999999999997e-05,4.0,0.38888888888564815,0.40599999999999997,0.23076923076745562,0.01794488673470833,0.21621621621563183,0.4999999999875,boat,a small vessel for travel on water,i50885
en,0.9754258641995316,4,0.07575918523060922,1,1,boat,26,1,2,4.0,0.202,5.13e-05,2.0,0.099999999999,0.202,0.14285714285510204,0.10632251696089369,0.129999999999935,0.0,boat,a small vessel for travel on water,i50885
nb,0.9752850569137907,4,0.0,1,1,boat,2,1,1,3.0,0.203,5.01e-05,1.0,0.0,0.203,0.0,0.0723217503879657,0.399999999992,0.0,boat,a small vessel for travel on water,i50885
it,0.964321582400393,4,0.6181936466022238,1,0,boat,19,3,9,6.666666666666667,0.4163333333333334,8.995666666666666e-06,3.0,0.3333333333309524,0.4163333333333334,0.09677419354776275,0.008345859110367407,0.26027397260238316,0.18181818181652892,boat,a small vessel for travel on water,i50885
en,0.9868612549279038,4,0.9999999999945047,0,1,"passenger vehicle, bus, coach",3,10,18,8.333333333333334,0.49666666666666665,5.856666666666666e-05,3.3333333333333335,0.533333333328,0.49666666666666665,0.33333333332857146,0.12244880145089217,0.0149999999999925,0.8181818181743802,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0.936711815247287,4,0.0029749237014168022,0,1,"passenger vehicle, bus, coach",2,1,1,7.0,0.2,2.04e-05,1.0,0.41666666666319446,0.2,0.0,0.023956296160062264,0.05405405405390796,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
it,0.9297578740167791,4,0.4169291376300238,0,0,"passenger vehicle, bus, coach",3,7,9,7.75,0.57625,1.0059725e-05,1.5,0.41071428571135205,0.57625,0.0,0.009461263875099962,0.04109589041090261,0.5454545454495868,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
nb,0.9208633418211853,4,0.0,0,1,"passenger vehicle, bus, coach",0,1,1,4.0,0.273,3.89e-05,1.0,0.1249999999984375,0.273,0.0,0.05613543666772359,0.0,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0.9661399058347706,4,0.9950943385958353,0,1,cathedral,0,1,2,8.0,0.753,1.82e-05,2.0,0.49999999999583333,0.753,0.0769230769224852,0.02114841914609652,0.0,0.0,cathedral,any large and important church,i51645
en,0.9328938498223632,4,0.5535972937561201,0,0,cathedral,2,1,2,9.0,0.865,9.77e-06,2.0,0.599999999994,0.865,0.14285714285510204,0.014158581887090415,0.009999999999995,0.0,cathedral,any large and important church,i51645
nb,0.9207392892462583,4,0.0,0,0,cathedral,0,1,1,8.0,0.826,1.05e-06,1.0,0.6249999999921875,0.826,0.0,0.0014343675327982404,0.0,0.0,cathedral,any large and important church,i51645
it,0.8952057888526479,4,0.9999999999522541,0,0,cathedral,0,2,3,7.5,0.6445,1.705e-05,1.5,0.39285714285433676,0.6445,0.0,0.016788856543225174,0.0,0.09090909090826446,cathedral,any large and important church,i51645
nb,0.9876899990661698,4,0.0,0,1,"church, church building",1,3,3,8.333333333333334,0.8083333333333332,3.0011833333333333e-05,1.0,0.6666666666583334,0.8083333333333332,0.0,0.043290199697682046,0.199999999996,0.6666666666444444,church,a place for public (especially Christian) worship,i51914
en,0.9852137657094018,4,0.9999999999375395,0,1,"church, church building",5,2,5,10.5,0.8734999999999999,0.000114,2.5,0.7499999999925,0.8734999999999999,0.21428571428265306,0.2454672010236788,0.0249999999999875,0.09090909090826446,church,a place for public (especially Christian) worship,i51914
es,0.974739029037997,4,0.29631725495326056,0,1,"church, church building",3,1,4,7.0,0.758,0.000132,4.0,0.41666666666319446,0.758,0.23076923076745562,0.16639223923214264,0.08108108108086194,0.0,church,a place for public (especially Christian) worship,i51914
it,0.9663961107554063,4,0.22706058515764688,0,1,"church, church building",4,1,4,6.0,0.658,0.000191,4.0,0.2857142857122449,0.658,0.16129032257960457,0.1991328622683762,0.054794520547870144,0.0,church,a place for public (especially Christian) worship,i51914
nb,0.9830984836306534,4,0.0,1,1,"crown, diadem",0,1,1,5.0,0.792,1.48e-05,1.0,0.249999999996875,0.792,0.0,0.02130595803755976,0.0,0.0,crown,an ornamental jeweled headdress signifying sovereignty,i52549
en,0.9303223038679284,4,0.9497043785251325,0,0,"crown, diadem",1,2,13,5.5,0.42700000000000005,1.82725e-05,6.5,0.2499999999975,0.42700000000000005,0.7857142857030612,0.033027444347119614,0.0049999999999975,0.09090909090826446,crown,an ornamental jeweled headdress signifying sovereignty,i52549
it,0.9072751622072944,4,0.9999999999912719,0,0,"crown, diadem",1,2,14,6.5,0.48750000000000004,1.2896e-05,7.0,0.3214285714262755,0.48750000000000004,0.3548387096751301,0.012434404115617944,0.013698630136967536,0.09090909090826446,crown,an ornamental jeweled headdress signifying sovereignty,i52549
es,0.8758298913276601,4,0.29525321969876095,0,0,"crown, diadem",0,1,6,6.0,0.2,2.95e-05,6.0,0.33333333333055554,0.2,0.38461538461242606,0.03557069653601146,0.0,0.0,crown,an ornamental jeweled headdress signifying sovereignty,i52549
nb,0.9851270450691952,4,0.3470092110528716,0,1,farm,1,3,5,8.0,0.6186666666666667,6.159566666666667e-06,1.6666666666666667,0.6249999999921875,0.6186666666666667,0.07407407407325103,0.008818746911473099,0.199999999996,0.6666666666444444,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
es,0.9681159047795572,4,0.9999999999928845,0,0,farm,4,4,15,7.666666666666667,0.8093333333333333,1.5083333333333333e-05,4.333333333333333,0.4722222222182871,0.8093333333333333,0.256410256408284,0.01717059337631172,0.10810810810781592,0.74999999998125,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
it,0.9411702215690165,4,0.7450430847955828,0,0,farm,9,4,12,9.0,0.7306666666666667,6.7666666666666665e-06,3.6666666666666665,0.4999999999964286,0.7306666666666667,0.1397849462356573,0.006009298094205514,0.12328767123270783,0.2727272727247934,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
en,0.9231684716651363,4,0.0,0,1,farm,13,1,1,4.0,0.204,5.62e-05,1.0,0.099999999999,0.204,0.0,0.11719666292433303,0.0649999999999675,0.0,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
nb,0.950874022985664,4,0.4660957957746898,0,1,guitar,0,1,1,5.0,0.694,1.32e-05,1.0,0.249999999996875,0.694,0.0,0.0189936275060966,0.0,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
es,0.9438854166279467,4,0.999999999951586,0,1,guitar,1,1,2,8.0,0.197,1.86e-05,2.0,0.49999999999583333,0.197,0.0769230769224852,0.02165894223954484,0.02702702702695398,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
en,0.8788406647527499,4,0.0,0,0,guitar,6,1,1,6.0,0.592,3.02e-05,1.0,0.299999999997,0.592,0.0,0.05949711291424671,0.029999999999985,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
it,0.8464681493807025,4,0.49416778630852,0,0,guitar,2,1,2,8.0,0.2,1.91e-05,2.0,0.42857142856836733,0.2,0.03225806451592091,0.01893777986450462,0.027397260273935072,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
es,0.984395039059316,4,0.8532620545749935,0,1,"lodge, hostel, inn",1,5,8,7.666666666666667,0.5656666666666667,3.6666666666666666e-06,2.0,0.4722222222182871,0.5656666666666667,0.0769230769224852,0.002599413417474346,0.02702702702695398,0.999999999975,lodge,a hotel providing overnight lodging for travelers,i54942
en,0.9145902480929,4,0.9999999999906283,0,0,"lodge, hostel, inn",4,5,11,4.666666666666667,0.523,8.796666666666667e-06,3.0,0.16666666666500002,0.523,0.2857142857102041,0.011998547450815389,0.01999999999999,0.36363636363305785,lodge,a hotel providing overnight lodging for travelers,i54942
it,0.8330619718574445,4,0.09804029427926433,0,0,"lodge, hostel, inn",1,1,2,7.0,0.202,3.31e-06,2.0,0.35714285714030614,0.202,0.03225806451592091,0.0023858290142595214,0.013698630136967536,0.0,lodge,a hotel providing overnight lodging for travelers,i54942
nb,0.8098459702404724,4,0.0,0,0,"lodge, hostel, inn",0,1,1,3.0,0.446,2.14e-06,1.0,0.0,0.446,0.0,0.0030096427073575175,0.0,0.0,lodge,a hotel providing overnight lodging for travelers,i54942
nb,0.9384905464130033,4,0.1857026523662802,0,1,"kettle, boiler",0,1,1,5.0,0.472,2.19e-06,1.0,0.249999999996875,0.472,0.0,0.003081903036465742,0.0,0.0,kettle,a metal pot for stewing or boiling; usually has a lid,i55356
en,0.8957288345199258,4,0.9999999999814153,0,0,"kettle, boiler",1,2,6,6.0,0.46699999999999997,4.2999999999999995e-06,3.0,0.299999999997,0.46699999999999997,0.2857142857102041,0.00201948425035302,0.0049999999999975,0.09090909090826446,kettle,a metal pot for stewing or boiling; usually has a lid,i55356
es,0.8957079254210524,4,0.0,0,0,"kettle, boiler",0,1,1,7.0,0.73,4.57e-06,1.0,0.41666666666319446,0.73,0.0,0.0037523447368451287,0.0,0.0,kettle,a metal pot for stewing or boiling; usually has a lid,i55356
it,0.8897485372845109,4,0.9639574275260384,0,0,"kettle, boiler",0,2,6,8.0,0.47050000000000003,2.389e-06,3.0,0.42857142856836733,0.47050000000000003,0.09677419354776275,0.00142038590260178,0.0,0.09090909090826446,kettle,a metal pot for stewing or boiling; usually has a lid,i55356
nb,0.9676983854189382,4,0.0,0,1,"horse, knight",0,2,3,6.0,0.6145,1.4874999999999999e-05,1.5,0.3749999999953125,0.6145,0.05555555555493827,0.021414348531222094,0.0,0.3333333333222222,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
en,0.9514560854593799,4,0.978259336843508,0,1,"horse, knight",0,2,7,5.5,0.2,3.83e-05,3.5,0.2499999999975,0.2,0.3571428571377551,0.07747274195585054,0.0,0.09090909090826446,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
es,0.90001378867672,4,0.9999999999758936,0,0,"horse, knight",0,1,8,7.0,0.198,3.63e-05,8.0,0.41666666666319446,0.198,0.5384615384573964,0.044249589124632845,0.0,0.0,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
it,0.8763115763914225,4,0.7146097913776439,0,0,"horse, knight",0,1,7,7.0,0.198,4.68e-05,7.0,0.35714285714030614,0.198,0.3548387096751301,0.047974451083743964,0.0,0.0,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
es,0.9600563809310398,4,0.6193093205467458,0,1,"memorial, monument",8,1,3,9.0,0.206,1.74e-05,3.0,0.5833333333284723,0.206,0.1538461538449704,0.020127372959199884,0.21621621621563183,0.0,memorial,a structure erected to commemorate persons or events,i56131
nb,0.9458287542682344,4,0.0,0,0,"memorial, monument",0,1,1,11.0,0.858,1.38e-06,1.0,0.9999999999875,0.858,0.0,0.0019112857049125168,0.0,0.0,memorial,a structure erected to commemorate persons or events,i56131
it,0.9407081252987607,4,0.5971066996148029,0,0,"memorial, monument",9,2,4,16.0,0.5075000000000001,1.077e-05,2.0,0.9999999999928572,0.5075000000000001,0.03225806451592091,0.010205813393159359,0.12328767123270783,0.09090909090826446,memorial,a structure erected to commemorate persons or events,i56131
en,0.9239963961699883,4,0.9999999999816275,0,0,"memorial, monument",12,2,6,8.0,0.5315,1.682e-05,3.0,0.499999999995,0.5315,0.2857142857102041,0.02980403679367152,0.05999999999997,0.09090909090826446,memorial,a structure erected to commemorate persons or events,i56131
es,0.9780197936515291,4,0.35972297560151684,0,1,monastery,3,2,3,9.0,0.8280000000000001,1.3000000000000001e-05,1.5,0.5833333333284723,0.8280000000000001,0.0384615384612426,0.014511618931268403,0.08108108108086194,0.24999999999375,monastery,the residence of a religious community,i56337
nb,0.9372098806833433,4,0.13863816344304974,0,0,monastery,1,1,2,7.0,0.885,4.9e-06,2.0,0.49999999999375,0.885,0.11111111110987654,0.006998412874131466,0.199999999996,0.0,monastery,the residence of a religious community,i56337
it,0.933079820733213,4,0.9999999999892799,0,0,monastery,2,2,10,8.5,0.813,1.4e-05,5.0,0.46428571428239795,0.813,0.2258064516114464,0.013591677943272826,0.027397260273935072,0.09090909090826446,monastery,the residence of a religious community,i56337
en,0.9074925983223168,4,0.0,0,0,monastery,4,1,1,9.0,0.661,4.47e-06,1.0,0.599999999994,0.661,0.0,0.0023967505388805097,0.01999999999999,0.0,monastery,the residence of a religious community,i56337
nb,0.9088446641623817,4,0.0,0,0,mosaic,0,1,1,7.0,0.799,4.79e-07,1.0,0.49999999999375,0.799,0.0,0.0006091545743823259,0.0,0.0,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
en,0.9021368004731518,4,0.9999999999824994,0,0,mosaic,0,1,6,6.0,0.206,3.8e-06,6.0,0.299999999997,0.206,0.7142857142755102,0.0009098775193898226,0.0,0.0,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
es,0.8639938284572878,4,0.5653813888698055,0,0,mosaic,0,1,4,7.0,0.2,2.75e-06,4.0,0.41666666666319446,0.2,0.23076923076745562,0.0014294646616552868,0.0,0.0,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
it,0.851825860402156,4,0.9078528246453212,0,0,mosaic,0,2,6,7.0,0.2025,2.625e-06,3.0,0.35714285714030614,0.2025,0.09677419354776275,0.0016677741483685845,0.0,0.09090909090826446,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
en,0.9957453882187435,4,0.9999999999933822,1,1,"painting, picture",20,2,14,7.5,0.771,8.74e-05,7.0,0.4499999999955,0.771,0.8571428571306122,0.1864361229364366,0.09999999999995,0.09090909090826446,painting,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
es,0.9783311053943828,4,0.6385246804988469,0,1,"painting, picture",3,2,10,6.5,0.7545,3.43e-05,5.0,0.374999999996875,0.7545,0.3076923076899408,0.041696973657391265,0.08108108108086194,0.24999999999375,painting,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
it,0.9713411076277338,4,0.4947911199831914,0,1,"painting, picture",16,2,8,6.5,0.698,3.195e-05,4.0,0.3214285714262755,0.698,0.16129032257960457,0.03240786019545139,0.21917808219148058,0.09090909090826446,painting,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
nb,0.9563326126519065,4,0.0,0,1,"painting, picture",0,1,1,6.0,0.704,5.25e-06,1.0,0.3749999999953125,0.704,0.0,0.007504235177889032,0.0,0.0,painting,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
